epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,76.5662,1.3346,1.00658,0.9881,1,0.62801,0.73309,0.36696,1.88908,1.31537,1.22575,0.0018647,0.0018647,0.0018647
43,78.217,1.30051,0.94679,0.96017,0.87523,0.63158,0.72483,0.35747,1.87073,1.30938,1.26441,0.0018614,0.0018614,0.0018614
44,79.8611,1.40505,1.22804,1.01969,0.86201,0.68421,0.71145,0.3145,1.8787,1.3398,1.33499,0.0018581,0.0018581,0.0018581
45,81.4676,1.32429,0.98554,0.99606,0.85404,0.68421,0.68444,0.31047,1.99425,1.32692,1.38841,0.0018548,0.0018548,0.0018548
46,83.1428,1.33484,0.915,0.99257,0.82379,0.63158,0.66858,0.3188,1.99832,1.48949,1.36569,0.0018515,0.0018515,0.0018515
47,85.4558,1.38348,1.07081,0.99545,1,0.56955,0.67046,0.33451,1.94852,1.37066,1.33029,0.0018482,0.0018482,0.0018482
48,87.5552,1.33688,0.93507,1.01716,0.9103,0.63158,0.71145,0.354,1.9535,1.14435,1.33792,0.0018449,0.0018449,0.0018449
49,88.8986,1.27205,1.00769,0.98068,0.90376,0.63158,0.72092,0.38492,1.88915,1.12359,1.28416,0.0018416,0.0018416,0.0018416
50,90.7449,1.31452,0.93059,0.96311,0.99209,0.68421,0.74471,0.38695,1.78456,1.10367,1.20354,0.0018383,0.0018383,0.0018383
51,92.2084,1.28825,0.87082,0.99707,1,0.719,0.79311,0.40931,1.76512,1.10631,1.21414,0.001835,0.001835,0.001835
52,93.7985,1.32592,0.84211,1.00434,0.8571,0.68421,0.69638,0.36986,1.84796,1.088,1.28312,0.0018317,0.0018317,0.0018317
53,95.6198,1.35081,0.93193,1.01784,0.85868,0.68421,0.72521,0.39069,1.89769,1.08893,1.32459,0.0018284,0.0018284,0.0018284
54,97.1351,1.2902,0.8473,0.96687,0.92831,0.68175,0.69767,0.3561,1.85927,1.12235,1.33357,0.0018251,0.0018251,0.0018251
55,99.6206,1.22686,0.90365,0.94697,1,0.68137,0.74265,0.37229,1.81564,1.17564,1.27884,0.0018218,0.0018218,0.0018218
56,101.817,1.29712,0.84988,0.96746,0.9114,0.68421,0.74483,0.37304,1.84042,1.25763,1.2827,0.0018185,0.0018185,0.0018185
57,103.609,1.22418,0.79604,0.96397,0.91975,0.68421,0.75879,0.36694,1.79263,1.30029,1.23919,0.0018152,0.0018152,0.0018152
58,105.328,1.23541,0.78759,0.969,0.86471,0.73684,0.78088,0.3958,1.66799,1.23422,1.2113,0.0018119,0.0018119,0.0018119
59,106.803,1.32359,0.83174,1.00596,0.92678,0.73684,0.78193,0.39798,1.73098,1.17268,1.18713,0.0018086,0.0018086,0.0018086
60,108.428,1.18198,0.81554,0.97125,0.92601,0.73684,0.71051,0.36606,1.75173,1.28661,1.20101,0.0018053,0.0018053,0.0018053
61,109.844,1.2356,0.79647,0.94339,0.91602,0.73684,0.71287,0.34564,1.7985,1.33244,1.24877,0.001802,0.001802,0.001802
62,111.464,1.29393,0.82305,1.00372,0.91772,0.73684,0.73149,0.37003,1.84439,1.24568,1.31867,0.0017987,0.0017987,0.0017987
